userId,movieId,rating,timestamp,title
1,1,4.0,964982703,Toy Story (1995)
1,3,4.0,964981247,Grumpier Old Men (1995)
1,6,4.0,964982224,Heat (1995)
1,47,5.0,964983815,Seven (a.k.a. Se7en) (1995)
1,50,5.0,964982931,"Usual Suspects, The (1995)"
1,70,3.0,964982400,From Dusk Till Dawn (1996)
1,101,5.0,964980868,Bottle Rocket (1996)
1,110,4.0,964982176,Braveheart (1995)
1,151,5.0,964984041,Rob Roy (1995)
1,157,5.0,964984100,Canadian Bacon (1995)
1,163,5.0,964983650,Desperado (1995)
1,216,5.0,964981208,Billy Madison (1995)
1,223,3.0,964980985,Clerks (1994)
1,231,5.0,964981179,Dumb & Dumber (Dumb and Dumber) (1994)
1,235,4.0,964980908,Ed Wood (1994)
1,260,5.0,964981680,Star Wars: Episode IV - A New Hope (1977)
1,296,3.0,964982967,Pulp Fiction (1994)
1,316,3.0,964982310,Stargate (1994)
1,333,5.0,964981179,Tommy Boy (1995)
1,349,4.0,964982563,Clear and Present Danger (1994)
1,356,4.0,964980962,Forrest Gump (1994)
1,362,5.0,964982588,"Jungle Book, The (1994)"
1,367,4.0,964981710,"Mask, The (1994)"
1,423,3.0,964982363,Blown Away (1994)
1,441,4.0,964980868,Dazed and Confused (1993)
1,457,5.0,964981909,"Fugitive, The (1993)"
1,480,4.0,964982346,Jurassic Park (1993)
1,500,3.0,964981208,Mrs. Doubtfire (1993)
1,527,5.0,964984002,Schindler's List (1993)
1,543,4.0,964981179,So I Married an Axe Murderer (1993)
1,552,4.0,964982653,"Three Musketeers, The (1993)"
1,553,5.0,964984153,Tombstone (1993)
1,590,4.0,964982546,Dances with Wolves (1990)
1,592,4.0,964982271,Batman (1989)
1,593,4.0,964983793,"Silence of the Lambs, The (1991)"
1,596,5.0,964982838,Pinocchio (1940)
1,608,5.0,964982931,Fargo (1996)
1,648,3.0,964982563,Mission: Impossible (1996)
1,661,5.0,964982838,James and the Giant Peach (1996)
1,673,3.0,964981775,Space Jam (1996)
1,733,4.0,964982400,"Rock, The (1996)"
1,736,3.0,964982653,Twister (1996)
1,780,3.0,964984086,Independence Day (a.k.a. ID4) (1996)
1,919,5.0,964982475,"Wizard of Oz, The (1939)"
1,923,5.0,964981529,Citizen Kane (1941)
1,954,5.0,964983219,Mr. Smith Goes to Washington (1939)
1,1023,5.0,964982681,Winnie the Pooh and the Blustery Day (1968)
1,1025,5.0,964982791,"Sword in the Stone, The (1963)"
1,1029,5.0,964982855,Dumbo (1941)
1,1030,3.0,964982903,Pete's Dragon (1977)
1,1031,5.0,964982653,Bedknobs and Broomsticks (1971)
1,1032,5.0,964982791,Alice in Wonderland (1951)
1,1042,4.0,964981179,That Thing You Do! (1996)
1,1049,5.0,964982400,"Ghost and the Darkness, The (1996)"
1,1060,4.0,964980924,Swingers (1996)
1,1073,5.0,964981680,Willy Wonka & the Chocolate Factory (1971)
1,1080,5.0,964981327,Monty Python's Life of Brian (1979)
1,1089,5.0,964982951,Reservoir Dogs (1992)
1,1090,4.0,964984018,Platoon (1986)
1,1092,5.0,964983484,Basic Instinct (1992)
1,1097,5.0,964981680,E.T. the Extra-Terrestrial (1982)
1,1127,4.0,964982513,"Abyss, The (1989)"
1,1136,5.0,964981327,Monty Python and the Holy Grail (1975)
1,1196,5.0,964981827,Star Wars: Episode V - The Empire Strikes Back (1980)
1,1197,5.0,964981872,"Princess Bride, The (1987)"
1,1198,5.0,964981827,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
1,1206,5.0,964983737,"Clockwork Orange, A (1971)"
1,1208,4.0,964983250,Apocalypse Now (1979)
1,1210,5.0,964980499,Star Wars: Episode VI - Return of the Jedi (1983)
1,1213,5.0,964982951,Goodfellas (1990)
1,1214,4.0,964981855,Alien (1979)
1,1219,2.0,964983393,Psycho (1960)
1,1220,5.0,964981909,"Blues Brothers, The (1980)"
1,1222,5.0,964981909,Full Metal Jacket (1987)
1,1224,5.0,964984018,Henry V (1989)
1,1240,5.0,964983723,"Terminator, The (1984)"
1,1256,5.0,964981442,Duck Soup (1933)
1,1258,3.0,964983414,"Shining, The (1980)"
1,1265,4.0,964983599,Groundhog Day (1993)
1,1270,5.0,964983705,Back to the Future (1985)
1,1275,5.0,964982290,Highlander (1986)
1,1278,5.0,964983414,Young Frankenstein (1974)
1,1282,5.0,964982703,Fantasia (1940)
1,1291,5.0,964981909,Indiana Jones and the Last Crusade (1989)
1,1298,5.0,964984086,Pink Floyd: The Wall (1982)
1,1348,4.0,964983393,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)"
1,1377,3.0,964982653,Batman Returns (1992)
1,1396,3.0,964983017,Sneakers (1992)
1,1408,3.0,964982310,"Last of the Mohicans, The (1992)"
1,1500,4.0,964980985,Grosse Pointe Blank (1997)
1,1517,5.0,964981107,Austin Powers: International Man of Mystery (1997)
1,1552,4.0,964982620,Con Air (1997)
1,1573,5.0,964982290,Face/Off (1997)
1,1580,3.0,964981125,Men in Black (a.k.a. MIB) (1997)
1,1587,5.0,964982346,Conan the Barbarian (1982)
1,1617,5.0,964982951,L.A. Confidential (1997)
1,1620,4.0,964983056,Kiss the Girls (1997)
1,1625,5.0,964983504,"Game, The (1997)"
1,1644,3.0,964983536,I Know What You Did Last Summer (1997)
1,1676,3.0,964982620,Starship Troopers (1997)
1,1732,5.0,964981125,"Big Lebowski, The (1998)"
1,1777,4.0,964981230,"Wedding Singer, The (1998)"
1,1805,4.0,964983056,Wild Things (1998)
1,1920,4.0,964981780,Small Soldiers (1998)
